Target,Set,R2,MAE,RMSE
Ms,Train,0.9776609560091607,0.03349046646302286,0.0785965121713224
Ms,Test,0.9683334326288654,0.043145770869964406,0.08982476831502063
logHc,Train,0.8593868168159804,0.18196412903934325,0.34806008270213873
logHc,Test,0.8508394652171523,0.21417058660262706,0.37237346974765556
logTc,Train,0.9695734362945156,0.005029260160259993,0.020025055457147035
logTc,Test,0.9781871721111564,0.006317302995558052,0.01695127315463253
logER,Train,0.7770759574394991,0.050885542625618084,0.12403348647202488
logER,Test,0.7022373112859077,0.06942421744610912,0.14273097175741278
logHV,Train,0.8143444719700689,0.029721415187788116,0.07823366237227972
logHV,Test,0.74949032882767,0.033169053504968064,0.08270934877631608
logCost,Train,0.9996839410264808,0.002708044308662368,0.0069123233420479695
logCost,Test,0.9971893862891942,0.005739500968809188,0.02133794914012133
