Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,logHc,logTc,logER,logElong,logHV,logCost
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,1.595496222,2.998695158,0.932473765,1.602059991,2.021023822,-0.37675071
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,1.858657484,3.005180513,1.075546961,1.602059991,2.018076064,-0.113509275
98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.987710943,3.011147361,1.150142162,1.602059991,2.016029963,0.045322979
97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,2.07834805,3.017033339,1.202488317,1.602059991,2.015024263,0.161368002
96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.169056933,3.022428371,1.246498581,1.602059991,2.01494035,0.252853031
95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,2.238372329,3.027757205,1.271841607,1.602059991,2.015904378,0.328379603
94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,2.300421557,3.032618761,1.294906911,1.602059991,2.017826038,0.392696953
93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.339332168,3.037426498,1.312388949,1.602059991,2.020734085,0.44870632
92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,2.386962441,3.041787319,1.326540669,1.602059991,2.024608796,0.498310554
91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,2.422064298,3.046104787,1.341632336,1.602059991,2.029424364,0.541579244
90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,2.468524557,3.049992857,1.354876423,1.602059991,2.035189509,0.582063363
89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,2.495918807,3.053846427,1.365487985,1.602059991,2.041905639,0.619093331
88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,2.506450911,3.057285644,1.376941757,1.602059991,2.049450618,0.653212514
87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,2.523954462,3.06069784,1.386142109,1.602059991,2.05789422,0.683947131
86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,2.545702874,3.063708559,1.392345155,1.602059991,2.067145279,0.713490543
85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,2.557447046,3.06669855,1.395675785,1.602059991,2.077149795,0.741151599
84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,2.572464987,3.069668097,1.396373728,1.602059991,2.087923321,0.766412847
83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.594248867,3.072249898,1.394626764,1.602059991,2.099335278,0.790988475
82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.600700696,3.074450719,1.391640703,1.602059991,2.111430552,0.813580989
81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.55192551,3.077004327,1.386142109,1.602059991,2.124080157,0.835690571
80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.476788168,3.079181246,1.37821615,1.602059991,2.137227476,0.856124444
79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,2.381890881,3.080987047,1.369401414,1.602059991,2.150848507,0.876217841
78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,2.303714309,3.08278537,1.357172258,1.602059991,2.164887958,0.894869657
77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,2.252148855,3.084576278,1.343605508,1.602059991,2.179206976,0.912753304
76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,2.1857121,3.086359831,1.329194415,1.602059991,2.193820026,0.930439595
75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,2.10744741,3.087781418,1.312388949,1.602059991,2.208602574,0.946943271
74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.043047743,3.088844563,1.292034436,1.602059991,2.223495941,0.962842681
73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,1.992288354,3.090258053,1.271144318,0.84509804,2.238422496,0.978180517
72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.45195521,3.09131516,1.2509077,0.84509804,2.253338005,0.992995098
71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.752025387,3.092018471,1.226599905,0.84509804,2.268133154,1.007747778
70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.803054045,3.093071306,1.202488317,0.798650645,2.282758021,1.021602716
69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.763712438,3.093771781,1.177247836,0.798650645,2.297125562,1.035029282
68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.675375012,3.094471129,1.147367108,0.798650645,2.311181486,1.048053173
67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.553749564,3.09482038,1.121887985,0.650307523,2.324837832,1.06069784
66,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.372304302,3.095518042,1.096910013,0.650307523,2.338017993,1.072984745
65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.207580515,3.095518042,1.069668097,0.650307523,2.350674348,1.084933575
64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.714656615,3.095866453,1.044147621,0.650307523,2.36272745,1.096214585
63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.758124304,3.096214585,1.020775488,0.650307523,2.374143211,1.10754913
62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,2.808075868,3.096214585,0.996511672,0.650307523,2.384819184,1.118595365
61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.882979654,3.096214585,0.971739591,0.650307523,2.39473178,1.129367596
60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.863626165,3.096214585,0.949877704,0.650307523,2.403823749,1.139564266
59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.668954042,3.095866453,0.929418926,0.650307523,2.41204033,1.149834697
58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.490197346,3.095518042,0.906873535,0.748188027,2.41936087,1.159867847
57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,2.29817601,3.095518042,0.883093359,0.748188027,2.425713509,1.169380495
56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,2.603425869,3.095169351,0.860936621,0.748188027,2.431090233,1.178976947
55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,2.621300942,3.094471129,0.840733235,0.748188027,2.435462121,1.188365926
54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,2.647285145,3.094121596,0.824125834,0.748188027,2.438811228,1.197280558
