Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Ms,logHc,logTc,logER,logElong,logHV,logCost
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02399399999999996,0.0,1.0,0.0,55.845,5584.5,0.0,0.0,0.0,8.0,1e-06,4.28,6.0,0.0,0.0,6.0,0.0,81.52,0.0,0.0,0.0,2.23,1.595496222,2.998695158,0.932473765,1.602059991,2.021023822,-0.37675071
99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.287765647593442,0.02399399999999996,0.0,1.0,-0.0004655967566262008,55.87588195,5587.588194999999,0.0,0.003429808469860804,0.0016829999999999994,8.01,0.0396,4.2811,13.0,0.0,0.0,13.0,0.0,81.469,0.006228670941393371,0.050489999999999945,-1.9999631927292757e-05,2.24,1.858657484,3.005180513,1.075546961,1.602059991,2.018076064,-0.113509275
98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.819388055334375,0.023993999999999963,0.0,1.0,-0.0008150971878076918,55.906763899999994,5590.67639,0.0,0.004824259131633361,0.0033319999999999986,8.02,0.0784,4.2822,13.0,0.0,0.0,13.0,0.0,81.418,0.008769559556854727,0.09995999999999988,-3.959598603713878e-05,2.25,1.987710943,3.011147361,1.150142162,1.602059991,2.016029963,0.045322979
97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.41684783208161,0.02399399999999996,0.0,1.0,-0.0011202463862465808,55.937645849999996,5593.764585,0.0,0.0058762391006654995,0.004946999999999997,8.03,0.11639999999999999,4.2833000000000006,13.0,0.0,0.0,13.0,0.0,81.36699999999999,0.010692231833185808,0.14840999999999982,-5.87897867284329e-05,2.26,2.07834805,3.017033339,1.202488317,1.602059991,2.015024263,0.161368002
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.447104876368467,0.02399399999999996,0.0,1.0,-0.0013962876442619144,55.9685278,5596.85278,0.0,0.006747905627501861,0.0065279999999999965,8.04,0.1536,4.284400000000001,13.0,0.0,0.0,13.0,0.0,81.31599999999999,0.012290223511431168,0.19583999999999976,-7.7581727716808e-05,2.27,2.169056933,3.022428371,1.246498581,1.602059991,2.01494035,0.252853031
95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.712772910306706,0.02399399999999996,0.0,1.0,-0.0016504557331775847,55.99940975,5599.9409749999995,0.0,0.0075024078202077064,0.008074999999999997,8.049999999999999,0.19,4.2855,13.0,0.0,0.0,13.0,0.0,81.26499999999999,0.01367771156836117,0.24224999999999974,-9.597247209539809e-05,2.28,2.238372329,3.027757205,1.271841607,1.602059991,2.015904378,0.328379603
94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.126342974002995,0.023993999999999956,0.0,1.0,-0.0018870079820700256,56.03029169999999,5603.02917,0.0,0.0081722932464129,0.009587999999999994,8.059999999999999,0.22559999999999997,4.2866,13.0,0.0,0.0,13.0,0.0,81.214,0.014913474190137993,0.2876399999999996,-0.00011396265239400774,2.29,2.300421557,3.032618761,1.294906911,1.602059991,2.017826038,0.392696953
93.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.641346062089491,0.02399399999999996,0.0,1.0,-0.002108754204706942,56.06117365,5606.117365,0.0,0.00877698714975787,0.011066999999999997,8.07,0.2604,4.2877,13.0,0.0,0.0,13.0,0.0,81.163,0.016032549115504027,0.33200999999999964,-0.00013155287063200231,2.3,2.339332168,3.037426498,1.312388949,1.602059991,2.020734085,0.44870632
92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.230166874596835,0.02399399999999996,0.0,1.0,-0.002317688556884036,56.0920556,5609.205559999999,0.0,0.009329202177613845,0.012511999999999995,8.08,0.2944,4.2888,13.0,0.0,0.0,13.0,0.0,81.11200000000001,0.01705783751550393,0.3753599999999996,-0.00014874369836892498,2.31,2.386962441,3.041787319,1.326540669,1.602059991,2.024608796,0.498310554
91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.875070559759667,0.02399399999999996,0.0,1.0,-0.002515299461232599,56.12293755,5612.293755,0.0,0.009837805446032468,0.013922999999999994,8.09,0.3276,4.2899,13.0,0.0,0.0,13.0,0.0,81.06099999999999,0.01800529204140002,0.41768999999999956,-0.00016553567674800016,2.32,2.422064298,3.046104787,1.341632336,1.602059991,2.029424364,0.541579244
