Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,logHc,logTc,logER,logHV,logCost
10.47,39.7,49.83,0,0,0,0,0,0,0,0,0,0,0,0,1.37,3.144,3.032,1.422,2.134,1.303
10.47,29.76,59.77,0,0,0,0,0,0,0,0,0,0,0,0,1.18,2.98,3.005,1.31,2.187,1.261
10.47,19.83,69.7,0,0,0,0,0,0,0,0,0,0,0,0,1.08,2.961,2.971,1.292,2.193,1.213
10.46,9.91,79.63,0,0,0,0,0,0,0,0,0,0,0,0,0.95,2.874,2.948,1.281,2.198,1.16
20.82,9.86,69.32,0,0,0,0,0,0,0,0,0,0,0,0,1.31,2.591,2.954,1.352,2.25,1.117
31.07,9.81,59.12,0,0,0,0,0,0,0,0,0,0,0,0,1.29,2.679,2.945,1.423,2.27,1.07
41.22,9.76,49.02,0,0,0,0,0,0,0,0,0,0,0,0,1.41,2.223,2.951,1.589,2.318,1.017
34.49,32.69,32.82,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.793,3.009,1.423,2.345,1.196
41.28,48.9,9.82,0,0,0,0,0,0,0,0,0,0,0,0,1.97,3.062,3.063,1.246,2.432,1.254
31.13,59,9.87,0,0,0,0,0,0,0,0,0,0,0,0,1.91,2.758,3.066,1.193,2.424,1.326
20.87,69.2,9.93,0,0,0,0,0,0,0,0,0,0,0,0,1.88,2.7,3.103,1.188,2.239,1.388
10.49,79.53,9.98,0,0,0,0,0,0,0,0,0,0,0,0,1.87,2.835,3.11,1.196,2.202,1.442
10.49,69.55,19.96,0,0,0,0,0,0,0,0,0,0,0,0,1.69,3.001,3.09,1.228,2.189,1.411
10.48,59.6,29.92,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.845,3.077,1.369,2.192,1.378
10.48,49.64,39.88,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.85,3.06,1.34,2.238,1.342
51.32,38.91,9.77,0,0,0,0,0,0,0,0,0,0,0,0,2.12,3.053,3.069,1.217,2.496,1.168
61.26,29.03,9.71,0,0,0,0,0,0,0,0,0,0,0,0,2.09,3.053,3.064,1.21,2.444,1.06
71.09,19.25,9.66,0,0,0,0,0,0,0,0,0,0,0,0,2.03,2.973,3.068,1.279,2.373,0.916
80.82,9.57,9.61,0,0,0,0,0,0,0,0,0,0,0,0,1.92,3.091,3.018,1.369,2.335,0.7
71.06,9.62,19.32,0,0,0,0,0,0,0,0,0,0,0,0,1.69,3.166,2.998,1.479,2.381,0.803
61.21,9.67,29.12,0,0,0,0,0,0,0,0,0,0,0,0,1.43,3.062,2.943,1.663,2.439,0.887
51.26,9.72,39.02,0,0,0,0,0,0,0,0,0,0,0,0,1.47,2.85,2.94,1.667,2.293,0.957
71.08,14.43,14.49,0,0,0,0,0,0,0,0,0,0,0,0,2,3.322,3.007,1.501,2.548,0.863
61.24,19.34,19.42,0,0,0,0,0,0,0,0,0,0,0,0,1.94,3.182,3,1.435,2.609,0.982
51.3,24.3,24.4,0,0,0,0,0,0,0,0,0,0,0,0,1.83,2.942,3.015,1.415,2.417,1.075
41.25,29.32,29.43,0,0,0,0,0,0,0,0,0,0,0,0,1.77,2.554,3.006,1.412,2.328,1.152
31.1,34.38,34.52,0,0,0,0,0,0,0,0,0,0,0,0,1.65,2.457,3.037,1.425,2.344,1.217
20.84,39.5,39.66,0,0,0,0,0,0,0,0,0,0,0,0,1.51,2.564,3.037,1.528,2.263,1.273
41.27,39.1,19.63,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.922,3.024,1.516,2.364,1.206
36.19,34.29,29.52,0,0,0,0,0,0,0,0,0,0,0,0,1.75,2.573,3.003,1.41,2.327,1.199
31.1,29.46,39.44,0,0,0,0,0,0,0,0,0,0,0,0,1.58,2.625,3.01,1.367,2.358,1.191
25.97,24.61,49.42,0,0,0,0,0,0,0,0,0,0,0,0,1.44,2.608,3.001,1.346,2.286,1.184
20.82,19.73,59.45,0,0,0,0,0,0,0,0,0,0,0,0,1.35,2.672,2.988,1.336,2.321,1.176
15.65,14.83,69.52,0,0,0,0,0,0,0,0,0,0,0,0,1.17,2.83,2.96,1.375,2.204,1.168
41.23,19.54,39.23,0,0,0,0,0,0,0,0,0,0,0,0,1.64,2.686,2.975,1.54,2.316,1.09
36.18,29.39,34.43,0,0,0,0,0,0,0,0,0,0,0,0,1.71,2.625,3.024,1.391,2.312,1.172
31.1,39.3,29.6,0,0,0,0,0,0,0,0,0,0,0,0,1.71,2.686,3.028,1.344,2.303,1.241
25.99,49.27,24.74,0,0,0,0,0,0,0,0,0,0,0,0,1.73,2.657,3.064,1.358,2.302,1.301
20.86,59.29,19.85,0,0,0,0,0,0,0,0,0,0,0,0,1.73,2.617,3.064,1.265,2.242,1.353
15.69,69.38,14.93,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.733,3.088,1.258,2.252,1.4
