Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.02399399999999996,0.0,1.0,0.0,55.845,5584.5,0.0,0.0,0.0,8.0,1e-06,4.28,6.0,0.0,0.0,6.0,0.0,81.52,0.0,0.0,0.0
99.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007959262755832425,10.641531325025882,0.023993386510514227,0.0099,1.0048274670177846,-0.0004655967566262008,55.873484,5587.3484,-734.9609455288639,0.005446238531003051,0.002673000000000005,8.02,0.0792,4.281600000000001,14.0,0.0,0.0,14.0,0.0,81.4553,0.00790319195691358,0.064053,-3.246942153585508e-05
98.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011198208286674106,9.40553536854572,0.023992785414755583,0.0196,1.0048273304076407,-0.0008150971878076918,55.901968,5590.1968,-649.998437320059,0.007658953681565852,0.0052920000000000085,8.04,0.1568,4.2832,14.0,0.0,0.0,14.0,0.0,81.3906,0.011129049300533465,0.12681199999999998,-6.428445740396644e-05
97.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013643703198617848,8.702649450132318,0.023992196712723818,0.029099999999999997,1.0048271938072926,-0.0011202463862465808,55.930451999999995,5593.0452000000005,-601.7956234096769,0.00932718043274264,0.007857000000000013,8.06,0.23279999999999998,4.284800000000001,14.0,0.0,0.0,14.0,0.0,81.32589999999999,0.013571313941405,0.18827699999999994,-9.544660626866061e-05
96.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015671719403603187,8.216280106703703,0.023991620404419035,0.0384,1.0048270572167388,-0.0013962876442619144,55.958935999999994,5595.893599999999,-568.5145716691475,0.010708585339239957,0.010368000000000016,8.08,0.3072,4.2864,14.0,0.0,0.0,14.0,0.0,81.26119999999999,0.015602229487929933,0.24844799999999995,-0.00012595730339460274
95.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0.001742862432443293,7.847699846031365,0.023991056489841237,0.0475,1.0048269206359788,-0.0016504557331775847,55.98741999999999,5598.741999999999,-543.3474874463956,0.011903537116981722,0.012825000000000022,8.1,0.38,4.288,14.0,0.0,0.0,14.0,0.0,81.19649999999999,0.01736655900482667,0.30732499999999996,-0.00015581792080985408
94.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018989832219795106,7.553134210501126,0.02399050496899042,0.05639999999999999,1.0048267840650114,-0.0018870079820700256,56.01590399999999,5601.5904,-523.2768020000731,0.01296377972382935,0.015228000000000025,8.12,0.45119999999999993,4.2896,14.0,0.0,0.0,14.0,0.0,81.1318,0.018938811490225853,0.3649079999999999,-0.00018502976746021058
93.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002040033712668603,7.3093356428473975,0.02398996584186671,0.0651,1.0048266475038348,-0.002108754204706942,56.044388000000005,5604.4388,-506.7004298006721,0.013920203366351042,0.01757700000000003,8.14,0.5208,4.291200000000001,14.0,0.0,0.0,14.0,0.0,81.0671,0.020363392749823257,0.42119699999999993,-0.0002135940893501524
92.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002168957461824494,7.1024873038370915,0.02398943910846986,0.0736,1.0048265109524481,-0.002317688556884036,56.072872000000004,5607.2872,-492.66647154427056,0.014793029287049233,0.019872000000000032,8.16,0.5888,4.292800000000001,14.0,0.0,0.0,14.0,0.0,81.00240000000001,0.021669320904477173,0.4761919999999999,-0.00024151206967441483
91.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022878068624597185,6.923714953169763,0.0239889247688,0.0819,1.0048263744108508,-0.002515299461232599,56.101356,5610.1356,-480.5637203121129,0.015596365846794254,0.02211300000000004,8.18,0.6552,4.2944,14.0,0.0,0.0,14.0,0.0,80.93769999999999,0.02287680512233841,0.529893,-0.0002687848289353858
90.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002398081534772156,6.766984876344162,0.023988422822857115,0.09000000000000001,1.0048262378790411,-0.0027027398407765,56.12984,5612.984,-469.9767281727951,0.01634052854549124,0.024300000000000044,8.2,0.7200000000000001,4.296,14.0,0.0,0.0,14.0,0.0,80.87299999999999,0.024000593523178328,0.5822999999999999,-0.0002954134250525535
89.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025009172483673133,6.628011563292975,0.023987933270641224,0.0979,1.004826101357019,-0.0028809285111417904,56.158324,5615.8324,-460.61050439104713,0.017033335559544956,0.026433000000000047,8.22,0.7832,4.2976,14.0,0.0,0.0,14.0,0.0,80.80829999999999,0.025051841548736516,0.6334129999999999,-0.00032139885345691156
88.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597198978464168,6.503644079482591,0.023987456112152316,0.1056,1.0048259648447815,-0.003050614377441308,56.186808,5618.6808,-452.2482197698032,0.017680883195644946,0.028512000000000048,8.24,0.8448,4.299200000000001,14.0,0.0,0.0,14.0,0.0,80.7436,0.026039229599866535,0.6832319999999998,-0.0003467420471768255
87.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002687632337696855,6.3914997181213415,0.023986991347390522,0.1131,1.0048258283423288,-0.0032124190760834514,56.215292,5621.5292,-444.7259590951212,0.018288035949391043,0.030537000000000054,8.26,0.9048,4.300800000000001,14.0,0.0,0.0,14.0,0.0,80.6789,0.026969668905643843,0.7317569999999999,-0.0003714438769105415
86.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002772790726050383,6.289734312190266,0.023986538976355557,0.12040000000000001,1.00482569184966,-0.003366866414821585,56.243776,5624.3776,-437.91689407549114,0.018858750049045147,0.03250800000000006,8.28,0.9632000000000001,4.3024000000000004,14.0,0.0,0.0,14.0,0.0,80.6142,0.027848767258534225,0.7789879999999999,-0.00039550515108937104
85.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002853147594303993,6.196892309772536,0.02398609899904751,0.1275,1.004825555366774,-0.0035144033560190083,56.272259999999996,5627.226,-431.7209540213533,0.019396294896957746,0.03442500000000006,8.3,1.02,4.304,14.0,0.0,0.0,14.0,0.0,80.5495,0.02868114757551083,0.8249249999999999,-0.00041892661592767173
84.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029290991977986,6.111805554461157,0.02398567141546665,0.1344,1.0048254188936687,-0.0036554153773427655,56.300743999999995,5630.0743999999995,-426.0578531600174,0.0199034092759282,0.03628800000000006,8.32,1.0752,4.3056,14.0,0.0,0.0,14.0,0.0,80.48479999999999,0.029470672471188872,0.8695679999999998,-0.00044170895546244253
83.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030009810611158058,6.033522958092162,0.023985256225612667,0.1411,1.004825282430343,-0.0037902379751094573,56.329228,5632.9228,-420.86224672503806,0.02038241440610988,0.03809700000000007,8.34,1.1288,4.3072,14.0,0.0,0.0,14.0,0.0,80.42009999999999,0.03022060669218877,0.9129169999999999,-0.00046385279158134285
82.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003069080158539433,5.961260414075225,0.023984853429485628,0.14759999999999998,1.0048251459767972,-0.003919165449339123,56.35771199999999,5635.7712,-416.08028165383547,0.020835297603023398,0.03985200000000006,8.36,1.1807999999999998,4.3088,14.0,0.0,0.0,14.0,0.0,80.35539999999999,0.030933737234478703,0.9549719999999997,-0.0004853586840393963
81.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003133644100316796,5.894364349734526,0.023984463027085724,0.1539,1.0048250095330293,-0.004042457728198141,56.386196,5638.6196,-411.6670869259886,0.021263775385549702,0.041553000000000076,8.38,1.2312,4.3104000000000005,14.0,0.0,0.0,14.0,0.0,80.2907,0.031612463894619657,0.9957329999999999,-0.0005062271304644567
80.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031948881789138016,5.832284697295021,0.023984085018412628,0.16000000000000003,1.004824873099038,-0.004160345749296494,56.414680000000004,5641.468000000001,-407.58491271281196,0.021669341894061,0.043200000000000086,8.4,1.2800000000000002,4.312,14.0,0.0,0.0,14.0,0.0,80.226,0.03225886869593397,1.0352000000000001,-0.0005264585663504653
79.0,0.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003253000855269751,5.7745545111416865,0.023983719403466646,0.1659,1.0048247366748224,-0.004273035759511614,56.443163999999996,5644.3164,-403.8017273093459,0.022053306598321176,0.044793000000000076,8.42,1.3272,4.3136,14.0,0.0,0.0,14.0,0.0,80.1613,0.032874769919667805,1.0733729999999997,-0.0005460533650410559
78.0,0.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033081480877188547,5.720774365929313,0.023983366182247563,0.1716,1.0048246002603818,-0.004380712791340496,56.471648,5647.1648,-400.29014332587184,0.022416824058388435,0.04633200000000008,8.440000000000001,1.3728,4.315200000000001,14.0,0.0,0.0,14.0,0.0,80.0966,0.03346176471823667,1.1102519999999998,-0.0005650118376999639
77.0,0.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033604767887088645,5.670600253268436,0.02398302535475548,0.1771,1.0048244638557142,-0.004483543503206478,56.500132,5650.013199999999,-397.02658480230735,0.02276091769545971,0.04781700000000008,8.46,1.4168,4.316800000000001,14.0,0.0,0.0,14.0,0.0,80.0319,0.03402126312604856,1.1458369999999998,-0.0005833342332709004
76.0,0.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003410117614829568,5.623734078529263,0.0239826969209905,0.1824,1.0048243274608197,-0.004581678522115092,56.528616,5652.8616,-393.99063335557673,0.023086498983330334,0.04924800000000008,8.48,1.4592,4.3184000000000005,14.0,0.0,0.0,14.0,0.0,79.96719999999999,0.03455451549667495,1.1801279999999998,-0.0006010207384258212
75.0,0.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034571872406564366,5.579916117282582,0.02398238088095228,0.1875,1.0048241910756959,-0.004675254392360772,56.5571,5655.71,-391.1645092456498,0.02339438309372673,0.05062500000000009,8.5,1.5,4.32,14.0,0.0,0.0,14.0,0.0,79.9025,0.0350626348517588,1.2131249999999998,-0.000618071477501779
74.0,0.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035017902282390282,5.538918967608879,0.023982077234641127,0.19240000000000002,1.0048240547003426,-0.004764395209030629,56.585584,5658.5584,-388.532655420003,0.023685301763347717,0.05194800000000009,8.52,1.5392000000000001,4.3216,14.0,0.0,0.0,14.0,0.0,79.8378,0.035546615245037945,1.2448279999999998,-0.0006344865124254615
73.0,0.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035440205764226064,5.500542657653893,0.0239817859820571,0.1971,1.0048239183347585,-0.004849213996829155,56.614067999999996,5661.4068,-386.0814010803789,0.023959913960759742,0.05321700000000009,8.54,1.5768,4.3232,14.0,0.0,0.0,14.0,0.0,79.7731,0.03600734697193353,1.2752369999999997,-0.0006502658426278847
72.0,0.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003583963014151332,5.464610654984091,0.023981507123199974,0.2016,1.0048237819789423,-0.004929813881258303,56.642551999999995,5664.2552,-383.7986873202149,0.0242188147937262,0.05443200000000009,8.56,1.6128,4.3248,14.0,0.0,0.0,14.0,0.0,79.7084,0.03644562925728386,1.3043519999999997,-0.0006654094049457077
71.0,0.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003621694087170087,5.430966586900048,0.023981240658069804,0.20589999999999997,1.0048236456328934,-0.005006289089075543,56.671035999999994,5667.1036,-381.67384169341744,0.024462542996429033,0.05559300000000009,8.58,1.6471999999999998,4.3264000000000005,14.0,0.0,0.0,14.0,0.0,79.6437,0.036862180908402556,1.3321729999999996,-0.000679917073511789
70.0,0.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036572830765809103,5.3994715264229995,0.023980986586666617,0.21,1.0048235092966096,-0.005078725807284384,56.69951999999999,5669.952,-379.6973917127909,0.024691587260787854,0.0567000000000001,8.6,1.68,4.328,14.0,0.0,0.0,14.0,0.0,79.579,0.03725764931246225,1.3586999999999998,-0.0006937886596338656
69.0,0.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003690792779458023,5.370001732229295,0.02398074490899046,0.21389999999999998,1.004823372970091,-0.005147202924034331,56.728004,5672.8004,-377.8609095878956,0.0249063916194327,0.057753000000000096,8.62,1.7111999999999998,4.3296,14.0,0.0,0.0,14.0,0.0,79.51429999999999,0.0376326180757983,1.3839329999999996,-0.0007070239116614731
68.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037222801754518225,5.3424467558097835,0.023980515625041242,0.21760000000000002,1.004823236653336,-0.005211792670257152,56.756488000000004,5675.6488,-376.15688223326555,0.02510736004478484,0.0587520000000001,8.64,1.7408000000000001,4.331200000000001,14.0,0.0,0.0,14.0,0.0,79.4496,0.03798761354080984,1.4078719999999998,-0.0007196225148412387
67.0,0.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037517969984867975,5.3167078479557714,0.02398029873481901,0.22110000000000002,1.0048231003463435,-0.005272561177311278,56.784972,5678.4972,-374.5786018748483,0.025294860395587804,0.059697000000000104,8.66,1.7688000000000001,4.332800000000001,14.0,0.0,0.0,14.0,0.0,79.3849,0.0383231103685671,1.4305169999999998,-0.0007315840911594068
66.0,0.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003779390228922012,5.292696610986196,0.023980094238323764,0.22440000000000002,1.0048229640491126,-0.005329568963103927,56.813456,5681.3456,-373.1200735674386,0.025469227816546283,0.06058800000000011,8.68,1.7952000000000001,4.3344000000000005,14.0,0.0,0.0,14.0,0.0,79.3202,0.038639536338363104,1.451868,-0.0007429081991742192
65.0,0.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003805102518615691,5.2703338541145195,0.02397990213555561,0.22749999999999998,1.0048228277616416,-0.005382871356933935,56.841939999999994,5684.1939999999995,-371.77593669259005,0.025630767676641995,0.0614250000000001,8.7,1.8199999999999998,4.336,14.0,0.0,0.0,14.0,0.0,79.2555,0.038937276486601134,1.4719249999999997,-0.000753594333834505
64.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003828972559029982,5.249548617856177,0.02397972242651429,0.2304,1.0048226914839302,-0.005432518871514836,56.870424,5687.0424,-370.5413980915882,0.02577975811584981,0.062208000000000103,8.719999999999999,1.8432,4.3376,14.0,0.0,0.0,14.0,0.0,79.1908,0.039216676684665365,1.4906879999999998,-0.0007636419262871293
63.0,0.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038510354006774028,5.2302773400137585,0.02397955511119995,0.2331,1.0048225552159764,-0.0054785575291989835,56.898908,5689.8908,-369.412174945144,0.025916452257379277,0.0629370000000001,8.74,1.8648,4.3392,14.0,0.0,0.0,14.0,0.0,79.1261,0.03947804673734169,1.5081569999999997,-0.0007730503436720396
62.0,0.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038713227307422115,5.212463140997481,0.02397940018961264,0.2356,1.0048224189577797,-0.005521029148253994,56.927392,5692.7392,-368.3844458708138,0.026041080132481343,0.06361200000000011,8.76,1.8848,4.3408,14.0,0.0,0.0,14.0,0.0,79.06139999999999,0.039721663068875576,1.5243319999999998,-0.0007818188889051648
61.0,0.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038898631145249845,5.196055210376777,0.023979257661752355,0.2379,1.0048222827093394,-0.005559971594085944,56.955875999999996,5695.5876,-367.4548089940974,0.02615385035671714,0.06423300000000011,8.780000000000001,1.9032,4.3424000000000005,14.0,0.0,0.0,14.0,0.0,78.9967,0.039947771052068815,1.5392129999999997,-0.0007899468004491719
60.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003906682205395821,5.181008279863382,0.023979127527618903,0.24,1.0048221464706537,-0.005595418999514958,56.984359999999995,5698.436,-366.6202459767188,0.026254951589974495,0.06480000000000011,8.8,1.92,4.344,14.0,0.0,0.0,14.0,0.0,78.932,0.04015658702631925,1.5527999999999997,-0.0007974332520708782
59.0,0.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003921802927153529,5.167282170584646,0.02397900978721266,0.24189999999999998,1.0048220102417216,-0.00562740195755438,57.012843999999994,5701.2844000000005,-365.87809116867805,0.026344553807103363,0.06531300000000011,8.82,1.9351999999999998,4.3456,14.0,0.0,0.0,14.0,0.0,78.8673,0.040348300042732904,1.5650929999999996,-0.0008042773525880308
58.0,0.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039352456320372944,5.1548414046602105,0.023978904440533303,0.24359999999999998,1.004821874022542,-0.0056559476895975645,57.04132799999999,5704.132799999999,-365.22600519927744,0.02642280940158087,0.06577200000000011,8.84,1.9487999999999999,4.3472,14.0,0.0,0.0,14.0,0.0,78.8026,0.040523073368019524,1.5760919999999996,-0.0008104781456017354
57.0,0.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003947028237100096,5.143654872854483,0.02397881148758085,0.24509999999999998,1.0048217378131143,-0.005681080191455615,57.069812,5706.9812,-364.6619524430925,0.026489854140911793,0.06617700000000011,8.86,1.9607999999999999,4.348800000000001,14.0,0.0,0.0,14.0,0.0,78.7379,0.040681045773549016,1.5857969999999997,-0.000816034609216993
56.0,0.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039571663411961016,5.133695551525729,0.02397873092835556,0.24640000000000004,1.0048216016134366,-0.005702820359298227,57.098296000000005,5709.829599999999,-364.18418189763577,0.026545807989364085,0.06652800000000013,8.88,1.9712000000000003,4.3504000000000005,14.0,0.0,0.0,14.0,0.0,78.67320000000001,0.04082233263147336,1.5942079999999998,-0.0008209456557505337
55.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003965673324458401,5.124940263295446,0.023978662762857043,0.24750000000000003,1.004821465423508,-0.005721186097214774,57.12678,5712.678,-363.79121109132717,0.026590775811025223,0.06682500000000012,8.9,1.9800000000000002,4.352,14.0,0.0,0.0,14.0,0.0,78.60849999999999,0.04094702683602812,1.6013249999999999,-0.0008252101314248118
54.0,0.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003972560431811612,5.117369476870475,0.023978606991085765,0.24840000000000004,1.0048213292433283,-0.005736192407823133,57.155264,5715.5264,-363.4818127111494,0.026624847963925634,0.06706800000000013,8.920000000000002,1.9872000000000003,4.3536,14.0,0.0,0.0,14.0,0.0,78.5438,0.041055199564889795,1.607148,-0.0008288268160515193
53.0,0.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039778368417846075,5.110967142305975,0.0239785636130412,0.2491,1.0048211930728952,-0.005747851467100461,57.183747999999994,5718.3748,-363.25500369818076,0.026648100794054125,0.06725700000000011,8.94,1.9928,4.3552,14.0,0.0,0.0,14.0,0.0,78.47909999999999,0.041146900892663874,1.6116769999999996,-0.0008317944226977174
52.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003981509721643916,5.105720558732471,0.02397853262872379,0.2496,1.0048210569122078,-0.005756172684385939,57.212232,5721.2232,-363.1100366099385,0.026660597036407233,0.06739200000000012,8.96,1.9968,4.3568,14.0,0.0,0.0,14.0,0.0,78.4144,0.041222160266112036,1.6149119999999997,-0.0008341115973440234
